toi,st_pmra,st_pmraerr1,st_pmraerr2,st_pmdec,st_pmdecerr1,st_pmdecerr2,pl_tranmid,pl_orbper,pl_trandurh,pl_trandurherr1,pl_trandurherr2,pl_trandep,pl_trandeperr1,pl_trandeperr2,pl_rade,pl_insol,pl_eqt,st_tmag,st_tmagerr1,st_tmagerr2,st_dist,st_disterr1,st_disterr2,st_teff,st_tefferr1,st_tefferr2,st_logg,st_rad,disposition_category
294,5.001,0.053,-0.053,22.236,0.054,-0.054,2460185.366,3.4231002,2.4377583,0.0263151,-0.0263151,8643.101646,89.250626,-89.250626,35.4084057,3086.112933,1900.958795,11.8999,0.006,-0.006,820.079,16.5695,-16.5695,5620.9,134.5,-134.5,3.6,2.6126101,FALSE_POSITIVE
295,-11.78,0.118,-0.118,6.725,0.097,-0.097,2458520.657,2.55555,1.566,0.375,-0.375,340.0,1.37224,-1.37224,11.5901,3520.68,2145.0,8.3854,0.007,-0.007,732.432,32.449,-32.449,10037.0,123.0,-123.0,4.34,6.04,FALSE_POSITIVE
296,-77.24,0.083,-0.083,11.016,0.07,-0.07,2460262.67,2.6556753,2.6111014,0.0096826,-0.0096826,20259.22626,63.771496,-63.771496,9.49438,640.3257634,1282.980317,10.15,0.014,-0.014,141.887,1.2185,-1.2185,5817.3,609.9,-609.9,4.34,1.24,CONFIRMED
297,-1.58,0.068,-0.068,-6.958,0.058,-0.058,2458842.997,1.0914304,3.05123,0.0075596,-0.0075596,15377.79205,38.79088,-38.79088,22.6154555,8220.583951,2428.540871,11.0967,0.013,-0.013,427.246,5.9855,-5.9855,6154.0,105.682,-105.682,4.02046,1.74942,CONFIRMED
298,5.382,0.051,-0.051,-38.112,0.047,-0.047,2458654.163,2.5495611,2.6173308,0.0193336,-0.0193336,14921.40219,81.960434,-81.960434,12.9171288,757.1284067,1337.864515,11.2474,0.006,-0.006,248.46,2.1455,-2.1455,5659.0,131.1,-131.1,4.44653,1.03997,CONFIRMED
299,12.885,0.101,-0.101,-4.311,0.105,-0.105,2460155.871,2.3109689,3.4303821,0.0184292,-0.0184292,6829.42365,34.351486,-34.351486,17.30428,4324.035454,2068.197749,9.77486,0.006,-0.006,298.109,6.691,-6.691,6371.0,197.0,-197.0,3.94807,1.95411,CONFIRMED
300,-42.044,0.069,-0.069,-38.193,0.066,-0.066,2458543.605,0.8134733,1.262964,0.0046982,-0.0046982,25866.83474,86.57887,-86.57887,13.1118363,680.8952697,1302.836235,11.1184,0.006,-0.006,86.7467,0.3269,-0.3269,4400.0,131.1,-131.1,4.64555,0.757649,CONFIRMED
301,25.0,0.082,-0.082,-45.938,0.059,-0.059,2460251.751,4.7948642,2.245,0.325,-0.325,2280.0,109.093,-109.093,3.3985,118.638,919.0,12.0394,0.006,-0.006,107.272,0.4995,-0.4995,4072.0,123.7,-123.7,4.62,0.65,CONFIRMED
302,88.576,0.042,-0.042,16.749,0.045,-0.045,2458452.335,19.1047019,3.2516728,0.1781959,-0.1781959,1906.059625,105.064514,-105.064514,2.9365337,8.5187297,435.7259839,9.3951,0.006,-0.006,36.6113,0.03455,-0.03455,4195.0,124.8,-124.8,4.59888,0.675093,CONFIRMED
303,22.028,0.039,-0.039,-10.401,0.043,-0.043,2460129.286,56.0045056,10.4337079,0.207373,-0.207373,767.9192527,17.171547,-17.171547,4.6074444,29.9535327,596.6666471,8.9387,0.006,-0.006,139.611,0.428,-0.428,6321.0,196.0,-196.0,4.22436,1.41189,CONFIRMED
