toi,st_pmra,st_pmraerr1,st_pmraerr2,st_pmdec,st_pmdecerr1,st_pmdecerr2,pl_tranmid,pl_orbper,pl_trandurh,pl_trandurherr1,pl_trandurherr2,pl_trandep,pl_trandeperr1,pl_trandeperr2,pl_rade,pl_insol,pl_eqt,st_tmag,st_tmagerr1,st_tmagerr2,st_dist,st_disterr1,st_disterr2,st_teff,st_tefferr1,st_tefferr2,st_logg,st_rad,disposition_category
653,47.604,0.075,-0.075,15.882,0.071,-0.071,2460403.663,2.958148,3.769,0.881,-0.881,980.0,57.7096,-57.7096,4.47387,4739.26,2311.0,9.44275,0.006,-0.006,195.022,1.5465,-1.5465,6294.0,142.8,-142.8,4.13,1.58,FALSE_POSITIVE
654,-7.377,0.038,-0.038,-13.809,0.041,-0.041,2458727.428,4.3170598,2.879,0.148,-0.148,10240.0,4.77829,-4.77829,12.9424,361.994,1215.0,11.9683,0.008,-0.008,440.708,5.2035,-5.2035,6017.0,147.1,-147.1,4.29,1.25,FALSE_POSITIVE
655,-35.126,0.085,-0.085,-3.673,0.047,-0.047,2458899.61,2.7917911,1.4664254,0.2579347,-0.2579347,1018.977143,175.08829,-175.08829,6.0002066,1003.835844,1435.606527,10.0721,0.006,-0.006,183.175,1.6665,-1.6665,6071.0,120.4,-120.4,4.36,1.16271,FALSE_POSITIVE
656,111.854,0.09,-0.09,-202.255,0.078,-0.078,2460233.367,0.9260632,1.035,0.167,-0.167,221.0,15.9329,-15.9329,1.67736,1025.84,1576.0,8.1359,0.006,-0.006,63.6796,0.28505,-0.28505,5640.0,111.0,-111.0,4.35,1.11,CONFIRMED
657,-458.496,0.104,-0.104,192.629,0.068,-0.068,2459502.343,4.0179805,1.1195616,0.3302883,-0.3302883,2808.911842,278.28647,-278.28647,1.1017624,4.6439935,374.4058708,12.4289,0.007,-0.007,21.8182,0.0307,-0.0307,3166.0,157.0,-157.0,5.07428,0.194357,CONFIRMED
658,-1.886,0.046,-0.046,2.989,0.047,-0.047,2460336.484,1.7578288,3.218,0.39,-0.39,2116.0,619.888,-619.888,13.9433,29799.8,3660.0,10.0768,0.006,-0.006,434.304,5.3045,-5.3045,6640.0,178.4,-178.4,3.76,2.59,FALSE_POSITIVE
659,-202.815,0.031,-0.031,-71.518,0.029,-0.029,2460205.647,0.980972,0.5405036,0.0262389,-0.0262389,6178.392421,60.235405,-60.235405,5.9162923,719.5629045,1320.951709,9.9005,0.006,-0.006,61.7856,0.0805,-0.0805,4486.0,175.0,-175.0,4.49914,0.764401,CONFIRMED
660,5.761,0.088,-0.088,-5.445,0.053,-0.053,2459494.147,5.8588751,3.581,0.201,-0.201,2690.0,1.22771,-1.22771,12.1366,429.794,1268.0,11.1893,0.007,-0.007,629.161,20.002,-20.002,6418.0,133.4,-133.4,3.82,2.31,CONFIRMED
661,11.937,0.055,-0.055,2.525,0.049,-0.049,2458765.06,2.1679,1.39,0.551,-0.551,560.0,5.50695,-5.50695,5.32848,10508.5,2820.0,9.9272,0.033,-0.033,451.796,6.61,-6.61,10596.0,671.7,-671.7,4.27,2.0,FALSE_POSITIVE
662,-0.136,0.038,-0.038,-10.962,0.045,-0.045,2460505.171,5.0316347,5.265,0.234,-0.234,4912.0,34.6008,-34.6008,15.3999,1248.65,1656.0,10.1213,0.008,-0.008,368.03,3.1315,-3.1315,6350.0,133.7,-133.7,3.87,2.16,CONFIRMED
663,7.744,0.057,-0.057,-0.526,0.06,-0.06,2459687.37,3.4936188,3.355,0.109,-0.109,9730.0,1.93405,-1.93405,14.2355,628.664,1394.0,11.8747,0.007,-0.007,465.992,6.497,-6.497,5779.5,111.8,-111.8,4.15,1.42,CONFIRMED
664,-32.194,0.039,-0.039,6.38,0.033,-0.033,2458328.378,5.62162,2.675,0.589,-0.589,580.083,1.90541,-1.90541,3.35879,334.683,1191.0,10.0793,0.006,-0.006,186.807,0.679,-0.679,5834.2,179.5,-179.5,4.24,1.27,FALSE_POSITIVE
665,-92.839,0.09,-0.09,-23.217,0.109,-0.109,2459631.901,3.6451549,2.055,0.163,-0.163,780.0,0.628693,-0.628693,2.99324,283.719,1143.0,8.6259,0.006,-0.006,82.3432,0.3914,-0.3914,5922.0,120.4,-120.4,4.43,1.05,CONFIRMED
666,158.824,0.069,-0.069,107.675,0.06,-0.06,2459462.517,52.5637056,6.5,0.867,-0.867,1193.0,45.8759,-45.8759,3.28372,14.3711,542.0,8.5725,0.006,-0.006,67.5478,0.15625,-0.15625,5625.56,114.232,-114.232,4.46798,0.97,CONFIRMED
667,0.197,0.061,-0.061,-7.928,0.057,-0.057,2460419.862,9.0330414,5.965,3.12,-3.12,227.0,22.8905,-22.8905,7.35267,2661.86,2001.0,8.629,0.032,-0.032,475.345,7.5705,-7.5705,7527.0,122.0,-122.0,4.34,5.64,FALSE_POSITIVE
668,-46.296,0.031,-0.031,-1.595,0.039,-0.039,2459169.52,1.33679,1.488,0.296,-0.296,700.0,1.48052,-1.48052,2.70732,1038.31,1581.0,9.6114,0.006,-0.006,109.991,0.3125,-0.3125,5600.0,187.0,-187.0,4.43748,0.98,FALSE_POSITIVE
669,-170.376,0.142,-0.142,-64.023,0.127,-0.127,2459355.554,2.5926199,1.269,0.034,-0.034,78210.0,17.8007,-17.8007,11.0137,13.8883,537.0,13.2486,0.008,-0.008,72.811,0.5308,-0.5308,3375.0,157.0,-157.0,4.85,0.37,CONFIRMED
670,692.255,0.105,-0.105,90.142,0.066,-0.066,2458356.367,10.2150168,1.9683066,0.3884645,-0.3884645,994.1089045,86.780266,-86.780266,1.4777754,7.4195034,420.9334696,9.92801,0.007,-0.007,23.7262,0.02655,-0.02655,3763.0,65.0,-65.0,4.83739,0.447336,CONFIRMED
671,107.107,0.043,-0.043,11.185,0.042,-0.042,2459037.774,1.7690121,1.0172953,0.0287311,-0.0287311,10110.21398,233.03137,-233.03137,10.5045599,313.4011658,1073.11163,10.7218,0.006,-0.006,91.299,0.2409,-0.2409,4683.0,128.9,-128.9,4.62,0.701795,CONFIRMED
672,-9.046,0.037,-0.037,33.673,0.04,-0.04,2458343.207,29.17362,8.075,0.499,-0.499,5558.85,22.7513,-22.7513,15.4676,167.644,1002.0,11.2532,0.006,-0.006,427.276,3.7265,-3.7265,5493.2,126.6,-126.6,3.92,1.89,FALSE_POSITIVE
673,41.772,0.079,-0.079,52.161,0.075,-0.075,2459443.471,1.6306523,1.202,0.083,-0.083,68050.0,37.07,-37.07,11.1125,30.1966,653.0,13.6136,0.009,-0.009,86.4493,0.41585,-0.41585,3262.0,157.0,-157.0,4.83,0.4,CONFIRMED
674,8.77,0.065,-0.065,-22.391,0.067,-0.067,2458599.445,3.752062,3.680056,0.038559,-0.038559,9500.430305,83.71538,-83.71538,14.937131,1237.736629,1512.783609,10.4445,0.006,-0.006,282.091,3.3325,-3.3325,6300.0,131.1,-131.1,4.16979,1.48,CONFIRMED
675,-9.033,0.07,-0.07,-40.835,0.069,-0.069,2458904.816,7.093853,2.5107626,0.8120722,-0.8120722,284.2381135,46.032337,-46.032337,1.6277147,163.4661355,911.9619079,8.3662,0.006,-0.006,62.1274,0.1956,-0.1956,5690.0,122.747,-122.747,4.48062,0.956941,CONFIRMED
676,2.81,0.047,-0.047,0.639,0.052,-0.052,2458331.865,13.17741,2.75,0.527,-0.527,1750.0,3.12692,-3.12692,49.318,44.0738,717.0,11.3377,0.006,-0.006,1811.81,85.235,-85.235,5027.7,74.0,-74.0,4.34,10.05,FALSE_POSITIVE
677,-20.777,0.074,-0.074,-17.203,0.061,-0.061,2460272.399,6.880459,2.037,0.391,-0.391,445.0,32.68,-32.68,2.77633,123.942,929.0,9.16636,0.006,-0.006,149.969,0.9485,-0.9485,6474.0,128.7,-128.7,4.32,1.31,FALSE_POSITIVE
678,0.104,0.052,-0.052,4.231,0.06,-0.06,2459421.078,1.5947535,1.94145,0.2155479,-0.2155479,15065.25655,1048.0123,-1048.0123,14.3739674,1761.288542,1652.25615,15.0236,0.007,-0.007,1490.94,65.035,-65.035,5703.0,123.0,-123.0,4.31786,1.15986,CONFIRMED
679,-3.495,0.081,-0.081,-0.158,0.076,-0.076,2460803.114,3.1052319,2.8083392,0.0503848,-0.0503848,13036.15383,213.55809,-213.55809,15.7747887,1193.666732,1499.134235,11.9801,0.011,-0.011,493.32,12.317,-12.317,6297.0,133.516,-133.516,4.30016,1.29988,CONFIRMED
680,-10.692,0.072,-0.072,1.799,0.064,-0.064,2458471.133,3.52985,1.907,0.551,-0.551,560.0,5.29033,-5.29033,3.20773,489.2,1310.0,9.08959,0.006,-0.006,156.139,0.998,-0.998,6627.0,128.9,-128.9,4.31,1.37,FALSE_POSITIVE
681,-1.541,0.026,-0.026,-2.519,0.029,-0.029,2459446.4,1.764534,2.187,0.182,-0.182,27120.0,1961.8,-1961.8,23.84,3379.0,2124.0,13.33,0.011,-0.011,845.721,10.8265,-10.8265,6479.0,122.0,-122.0,4.4,1.2,FALSE_POSITIVE
682,-42.628,0.079,-0.079,3.593,0.088,-0.088,2459761.943,3.7006742,3.115,2.494,-2.494,840.0,528.198,-528.198,2.61277,1434.65,1714.0,10.4787,0.006,-0.006,106.424,0.5535,-0.5535,5025.0,142.2,-142.2,4.56,0.79,FALSE_POSITIVE
683,-13.063,0.078,-0.078,9.737,0.141,-0.141,2459985.657,1.4095184,0.9484999,0.0413901,-0.0413901,2841.510326,51.88166,-51.88166,9.49438,1650.422071,1625.618022,7.678,0.012,-0.012,224.672,2.8445,-2.8445,9307.0,938.9,-938.9,4.34,1.24,FALSE_POSITIVE
684,-2.689,0.122,-0.122,-4.252,0.117,-0.117,2458762.172,3.310636,3.9,0.807,-0.807,590.0,2.63784,-2.63784,9.49438,126.954,935.0,10.9511,0.037,-0.037,4982.73,1564.38,-1564.38,3245.0,122.0,-122.0,4.34,1.24,FALSE_POSITIVE
685,-6.498,0.044,-0.044,3.628,0.041,-0.041,2459327.096,4.5300175,5.331,0.091,-0.091,35800.0,2.32132,-2.32132,9.49438,4849.38,2324.0,12.1229,0.008,-0.008,1938.67,88.46,-88.46,9046.0,211.7,-211.7,4.34,1.24,FALSE_POSITIVE
686,27.666,0.045,-0.045,8.25,0.035,-0.035,2459878.512,6.1461734,5.386,1.558,-1.558,1034.0,1192.06,-1192.06,6.96236,8177.52,2649.0,9.68805,0.006,-0.006,196.55,1.0125,-1.0125,6153.0,155.5,-155.5,4.15,1.5,FALSE_POSITIVE
687,-16.713,0.062,-0.062,-8.702,0.065,-0.065,2459714.654,2.3409909,2.5,0.115,-0.115,12040.0,3.55512,-3.55512,15.4992,934.465,1540.0,11.0062,0.007,-0.007,322.114,4.438,-4.438,6090.0,106.7,-106.7,4.23,1.35,CONFIRMED
688,4.836,0.043,-0.043,-7.165,0.04,-0.04,2459974.937,10.4137962,3.482,0.209,-0.209,1948.0,61.983,-61.983,8.3814,131.058,942.0,10.1985,0.006,-0.006,358.441,3.8825,-3.8825,6439.3,182.5,-182.5,4.12,1.97,FALSE_POSITIVE
689,-29.674,0.043,-0.043,13.444,0.042,-0.042,2458712.393,1.7890217,1.9190564,0.4334371,-0.4334371,391.6251669,41.727295,-41.727295,1.6741803,554.8261181,1237.824214,11.6685,0.006,-0.006,198.345,0.7935,-0.7935,5264.0,133.906,-133.906,4.59586,0.791524,FALSE_POSITIVE
690,11.763,0.347,-0.347,135.724,0.43,-0.43,2458842.506,0.5732087,0.4582376,0.1488967,-0.1488967,432048.7344,103577.016,-103577.016,9.49438,528.6493516,1275.5980574999999,18.3324,0.016,-0.016,151.383,4.632,-4.632,5780.0,131.1,-131.1,4.438,1.24,FALSE_POSITIVE
691,0.435,0.042,-0.042,-0.934,0.037,-0.037,2458764.941,0.8229,2.068,0.213,-0.213,2660.0,4.5744,-4.5744,9.49438,59083.0,4343.0,10.4049,0.031,-0.031,969.594,30.5625,-30.5625,8078.0,156.3,-156.3,3.8,1.24,FALSE_POSITIVE
692,-24.306,0.057,-0.057,6.033,0.057,-0.057,2459304.823,3.0652926,2.606,0.065,-0.065,11240.0,2.06253,-2.06253,13.3524,649.429,1406.0,12.3077,0.006,-0.006,539.36,11.693,-11.693,6229.0,130.095,-130.095,4.34122,1.22,CONFIRMED
693,14.098,0.073,-0.073,-12.2,0.079,-0.079,2459610.39,2.9895092,3.3503883,0.0167793,-0.0167793,12117.77888,51.155663,-51.155663,18.8182218,1949.871706,1694.810941,9.6022,0.006,-0.006,218.05,2.0865,-2.0865,6317.0,109.1,-109.1,4.12,1.61396,CONFIRMED
694,-10.617,0.045,-0.045,7.292,0.047,-0.047,2459990.713,4.6512523,2.251,0.209,-0.209,3110.0,3.28362,-3.28362,6.22936,432.038,1270.0,11.7159,0.006,-0.006,407.374,4.4685,-4.4685,7192.0,142.9,-142.9,4.56,1.1,FALSE_POSITIVE
695,374.953,0.069,-0.069,-85.583,0.063,-0.063,2460258.869,0.224195,0.292,0.026,-0.026,540.0,636.236,-636.236,5.59553,2649.15,1998.0,9.5209,0.006,-0.006,36.0559,0.0593,-0.0593,4079.0,126.0,-126.0,4.58,0.68,CONFIRMED
696,-1.1,2.4,-2.4,-1.9,2.2,-2.2,2459964.898,3.0244222,5.3680787,0.1927099,-0.1927099,267015.5225,9404.883,-9404.883,9.49438,596.3475879,1260.360014,11.422,0.018,-0.018,573.391,2.5675,-2.5675,6758.0,202.0,-202.0,4.19,1.24,FALSE_POSITIVE
697,-17.19,0.042,-0.042,12.272,0.039,-0.039,2459985.988,1.5078959,2.759,0.255,-0.255,1839.0,30.9731,-30.9731,5.53091,9662.8,2762.0,9.6171,0.006,-0.006,180.02,0.6635,-0.6635,6635.0,130.1,-130.1,4.35,1.3,FALSE_POSITIVE
698,35.872,0.105,-0.105,-389.854,0.082,-0.082,2458518.005,5.0988038,1.0252822,0.1748526,-0.1748526,2925.822243,132.99059,-132.99059,3.0503381,19.827421,538.1908458,10.2139,0.007,-0.007,33.0231,0.05845,-0.05845,3633.0,70.0,-70.0,4.80423,0.547453,CONFIRMED
699,-78.797,0.079,-0.079,-188.706,0.043,-0.043,2460269.975,9.0588209,3.342,0.214,-0.214,875.0,23.3623,-23.3623,2.67607,92.839,864.0,7.9259,0.006,-0.006,48.9739,0.1055,-0.1055,5560.26,43.3509,-43.3509,4.438,0.96,CONFIRMED
700,-9.238,0.082,-0.082,-9.538,0.059,-0.059,2459503.124,5.113835,2.4556787,0.2931215,-0.2931215,1290.375031,69.96525,-69.96525,5.6708634,832.2294086,1369.873657,10.999,0.009,-0.009,371.823,6.419,-6.419,6315.7,140.9,-140.9,4.17,1.50876,CONFIRMED
701,-21.883,0.034,-0.034,19.084,0.046,-0.046,2459307.936,0.9209526,1.8602735,0.4647613,-0.4647613,360.8801529,42.466145,-42.466145,5.7349089,32740.36294,3430.762244,10.11,0.006,-0.006,490.288,5.048,-5.048,6553.0,136.4,-136.4,3.65,2.8908899,FALSE_POSITIVE
702,41.134,0.063,-0.063,-51.191,0.07,-0.07,2459933.595,1.7904917,1.223,0.086,-0.086,47315.0,3022.18,-3022.18,11.4109,31.6712,660.0,14.4506,0.007,-0.007,171.319,1.323,-1.323,3425.0,157.0,-157.0,4.78,0.46,CONFIRMED
703,1.565,0.043,-0.043,1.242,0.042,-0.042,2459422.768,3.1208396,2.405278,0.1057563,-0.1057563,17027.40649,817.03375,-817.03375,16.2108254,744.4110758,1332.210819,14.3168,0.007,-0.007,1145.28,29.165,-29.165,5983.0,122.0,-122.0,4.3973,1.09921,CONFIRMED
704,-0.04,0.082,-0.082,17.257,0.061,-0.061,2458598.073,3.118536,2.043274,0.024721,-0.024721,12242.73132,140.4948,-140.4948,11.857124,481.9169727,1194.985966,10.6481,0.006,-0.006,194.134,1.9255,-1.9255,5700.0,131.1,-131.1,4.49158,0.95,CONFIRMED
705,-35.412,0.05,-0.05,32.729,0.056,-0.056,2459849.155,12.5482879,3.396,0.269,-0.269,49260.0,2762.31,-2762.31,13.0082,8.90508,481.0,14.3196,0.007,-0.007,273.689,2.295,-2.295,3923.0,157.0,-157.0,4.66,0.59,FALSE_POSITIVE
706,-8.277,0.058,-0.058,67.943,0.046,-0.046,2459982.236,10.1802014,4.613,0.834,-0.834,11500.0,2982.18,-2982.18,12.3422,261.013,1119.0,10.2042,0.006,-0.006,152.892,0.91,-0.91,5623.0,125.6,-125.6,4.4,1.04,CONFIRMED
707,-68.542,0.051,-0.051,-40.838,0.05,-0.05,2458875.998,6.5273884,3.1190657,0.2497135,-0.2497135,415.430891,26.054834,-26.054834,2.8972637,413.1007903,1149.830319,8.4594,0.006,-0.006,99.451,0.36195,-0.36195,6023.0,126.762,-126.762,4.23995,1.32944,CONFIRMED
708,-13.871,0.062,-0.062,-14.712,0.04,-0.04,2460255.017,5.185768,2.356,0.166,-0.166,13002.0,511.58,-511.58,7.50399,126.877,935.0,12.244,0.007,-0.007,169.398,1.0545,-1.0545,4664.8,144.3,-144.3,4.68,0.65,CONFIRMED
709,87.467,0.062,-0.062,-8.832,0.064,-0.064,2459110.922,1.38665,2.238,0.027,-0.027,24680.0,0.231424,-0.231424,15.5656,1237.91,1652.0,11.4996,0.006,-0.006,233.586,2.2405,-2.2405,5444.0,126.2,-126.2,4.48,0.93,FALSE_POSITIVE
710,-4.773,0.046,-0.046,4.565,0.046,-0.046,2458691.561,11.35626,6.047,0.638,-0.638,2190.0,58.5655,-58.5655,12.9372,1493.65,1731.0,10.8475,0.008,-0.008,504.976,6.2375,-6.2375,6314.0,134.8,-134.8,3.87,2.14,FALSE_POSITIVE
711,-173.029,0.077,-0.077,-92.131,0.069,-0.069,2458416.352,10.9245478,1.8716477,0.3613385,-0.3613385,653.537141,62.396942,-62.396942,1.9015018,35.242668,621.4224577,8.8723,0.006,-0.006,45.5621,0.08815,-0.08815,4884.0,96.0,-96.0,4.49,0.74413,CONFIRMED
712,-25.241,0.1,-0.1,6.479,0.077,-0.077,2459968.123,8.044239,5.3289306,0.0183014,-0.0183014,4937.505363,26.024817,-26.024817,15.1761031,3094.078007,1902.184175,7.81307,0.006,-0.006,210.139,3.344,-3.344,9333.0,286.1,-286.1,4.34,2.0411401,FALSE_POSITIVE
713,16.0,3.8,-3.8,-23.9,3.4,-3.4,2458764.794,0.50261,1.127,0.237,-0.237,1120.0,2.96692,-2.96692,6.28067,15525.5,1275.5980574999999,9.9475,0.006,-0.006,257.461,2.5675,-2.5675,6941.0,131.1,-131.1,4.34,1.67,FALSE_POSITIVE
714,-11.324,0.069,-0.069,-2.566,0.08,-0.08,2460108.109,17.7082945,3.449,1.047,-1.047,2341.0,415.368,-415.368,11.7171,100.109,881.0,9.9524,0.006,-0.006,600.497,14.7285,-14.7285,7859.0,158.5,-158.5,4.12,2.8,FALSE_POSITIVE
715,-8.2,0.068,-0.068,11.322,0.073,-0.073,2458683.576,0.4489589,0.7637477,0.3485629,-0.3485629,674.8277016,102.53909,-102.53909,1.015263,258.7481981,1022.913907,13.1638,0.007,-0.007,75.7664,0.18875,-0.18875,3419.0,157.0,-157.0,4.84756,0.377509,CONFIRMED
716,12.872,0.038,-0.038,-1.753,0.048,-0.048,2458413.06,2.788654,1.8900186,0.0518244,-0.0518244,26339.9058,482.11438,-482.11438,9.665126,51.9487662,684.7208601,13.8231,0.007,-0.007,194.964,1.118,-1.118,3654.0,162.0,-162.0,4.438,0.587106,CONFIRMED
717,-2.694,0.093,-0.093,0.375,0.079,-0.079,2459251.532,2.1816809,3.83,0.474,-0.474,1280.0,1.7059,-1.7059,9.49438,13037.6,2976.0,11.2486,0.011,-0.011,1675.78,176.07,-176.07,8582.7,1083.8,-1083.8,4.08,1.24,FALSE_POSITIVE
718,-2.397,0.07,-0.07,27.724,0.077,-0.077,2459036.526,0.8891483,1.1970992,0.017635,-0.017635,44722.5891,623.0692,-623.0692,14.8249782,280.571145,1043.831746,15.0804,0.009,-0.009,409.034,5.74,-5.74,3653.0,157.0,-157.0,4.60969,0.649887,FALSE_POSITIVE
719,-11.641,0.028,-0.028,8.065,0.034,-0.034,2459662.702,1.3273482,2.083,0.065,-0.065,18850.0,0.448136,-0.448136,15.4709,1378.13,1697.0,11.6281,0.006,-0.006,294.419,2.252,-2.252,5555.05,115.611,-115.611,4.36832,1.07,CONFIRMED
720,1.574,0.036,-0.036,-11.541,0.026,-0.026,2459197.193,1.3164901,1.389,0.241,-0.241,3580.0,8.49999,-8.49999,11.2218,1368.05,1694.0,12.8212,0.007,-0.007,1017.77,23.3595,-23.3595,6341.0,125.5,-125.5,4.04,1.78,FALSE_POSITIVE
721,0.889,0.057,-0.057,-21.885,0.066,-0.066,2459218.231,10.5739824,4.04,0.16,-0.16,5460.0,0.963427,-0.963427,9.43898,171.146,1007.0,11.4266,0.006,-0.006,414.23,5.0325,-5.0325,6519.0,135.5,-135.5,4.36,1.27,CONFIRMED
722,-54.591,0.101,-0.101,-10.621,0.092,-0.092,2460258.339,17.9051919,4.555,0.739,-0.739,771.0,43.0811,-43.0811,3.00633,76.5725,824.0,9.56225,0.006,-0.006,160.414,1.598,-1.598,6223.0,130.6,-130.6,4.33,1.24,CONFIRMED
723,-110.595,0.061,-0.061,2.165,0.071,-0.071,2458984.76,1.3888584,0.8267002,0.6351241,-0.6351241,1372.513683,241.27072,-241.27072,0.9650619,31.5257386,604.3465776,12.4106,0.007,-0.007,31.4566,0.0405,-0.0405,3300.0,157.0,-157.0,4.97775,0.256456,CONFIRMED
724,43.091,0.064,-0.064,-51.312,0.053,-0.053,2459199.05,2.300698,3.451,0.253,-0.253,780.0,309.525,-309.525,4.87824,17366.7,3198.0,10.6152,0.006,-0.006,145.407,0.877,-0.877,5747.3,518.8,-518.8,4.57,0.85,FALSE_POSITIVE
725,8.115,1.429,-1.429,-2.767,1.429,-1.429,2459743.508,21.7894491,6.8044292,0.2237073,-0.2237073,12276.80284,374.41772,-374.41772,9.49438,42.8575849,652.5693517,13.0309,0.006,-0.006,681.888,2.5675,-2.5675,6118.5,458.0,-458.0,4.34,1.24,FALSE_POSITIVE
726,-56.427,0.041,-0.041,109.157,0.052,-0.052,2458683.724,0.4018586,1.5779753,0.6501796,-0.6501796,111.3648011,23.801058,-23.801058,0.5525072,568.7058283,1245.494085,11.2076,0.007,-0.007,49.7627,0.06025,-0.06025,3621.0,157.0,-157.0,4.7197,0.520283,FALSE_POSITIVE
727,18.511,0.064,-0.064,9.338,0.063,-0.063,2459849.64,2.3927114,1.806,0.347,-0.347,13405.0,305.316,-305.316,14.5439,553.561,1351.0,10.5581,0.006,-0.006,220.882,2.6065,-2.6065,5967.0,129.9,-129.9,4.34,1.17,CONFIRMED
728,3.096,0.065,-0.065,-6.157,0.068,-0.068,2460337.986,3.4741012,3.317,0.013,-0.013,15748.0,21.4018,-21.4018,21.2912,3453.07,2084.333087,7.55216,0.006,-0.006,136.426,0.8115,-0.8115,8894.8,267.4,-267.4,4.38,1.62,CONFIRMED
729,-0.493,0.127,-0.127,11.141,0.124,-0.124,2458942.422,35.4028219,4.221,1.379,-1.379,12666.0,2736.61,-2736.61,21.7639,57.342,766.0,9.87542,0.006,-0.006,278.829,7.176,-7.176,7455.0,409.9,-409.9,4.17,1.78,FALSE_POSITIVE
730,24.675,0.046,-0.046,-11.924,0.038,-0.038,2458685.556,3.09374,2.451,0.347,-0.347,150.0,0.505291,-0.505291,1.72207,936.396,1541.0,8.98018,0.006,-0.006,160.295,0.51,-0.51,6610.0,128.1,-128.1,4.24,1.47,FALSE_POSITIVE
731,-0.649,0.057,-0.057,-3.465,0.055,-0.055,2459600.063,8.2100724,1.37,0.538,-0.538,4190.0,368.267,-368.267,15.5396,105.793,893.0,11.8431,0.009,-0.009,720.484,22.2375,-22.2375,6427.0,128.0,-128.0,3.97,1.96,FALSE_POSITIVE
732,-7.586,0.055,-0.055,19.147,0.05,-0.05,2458326.804,3.1901569,1.8262867,0.0437988,-0.0437988,3648.244246,126.462425,-126.462425,15.146461,2876.295127,1867.79028,11.0932,0.006,-0.006,530.555,6.4035,-6.4035,6474.57,100.19,-100.19,4.26363,1.98958,FALSE_POSITIVE
733,12.306,0.068,-0.068,-15.424,0.063,-0.063,2459227.044,4.0197555,2.688,0.154,-0.154,9750.0,1.74846,-1.74846,9.57594,211.813,1062.0,11.5521,0.006,-0.006,219.614,1.702,-1.702,5216.0,131.3,-131.3,4.44,0.94,CONFIRMED
734,1.209,0.034,-0.034,-2.212,0.035,-0.035,2459441.423,15.7335693,3.288,0.224,-0.224,2540.0,946.731,-946.731,24.3218,367.588,1219.0,9.7831,0.009,-0.009,355.809,2.417,-2.417,6800.0,134.4,-134.4,3.91,2.21,FALSE_POSITIVE
735,1.579,0.052,-0.052,0.632,0.051,-0.051,2460559.905,2.555332,5.14,0.018,-0.018,6550.0,0.0361902,-0.0361902,20.5128,4328.46,2259.0,10.8946,0.007,-0.007,617.233,10.1765,-10.1765,6454.0,121.9,-121.9,3.77,2.48,FALSE_POSITIVE
736,-7.173,0.039,-0.039,-7.145,0.045,-0.045,2459418.221,2.2751393,2.087,0.591,-0.591,3350.0,7.51845,-7.51845,10.5509,1207.23,1642.0,11.649,0.009,-0.009,504.97,6.169,-6.169,5810.0,123.9,-123.9,3.99,1.71,FALSE_POSITIVE
737,-151.783,0.074,-0.074,136.245,0.069,-0.069,2458543.252,10.3469945,2.5934713,1.207885,-1.207885,1601.254739,228.65567,-228.65567,1.0318727,2.106641,307.2680329,13.0055,0.007,-0.007,42.3968,0.0755,-0.0755,3278.0,157.0,-157.0,4.97813,0.256167,FALSE_POSITIVE
738,-14.62,0.037,-0.037,5.776,0.043,-0.043,2459198.702,1.734422,2.32,1.258,-1.258,1230.0,155.073,-155.073,4.24151,4861.83,2326.0,10.2767,0.006,-0.006,151.504,0.5135,-0.5135,5890.0,191.0,-191.0,4.48757,0.94,FALSE_POSITIVE
739,-9.014,0.042,-0.042,-87.771,0.048,-0.048,2458470.661,2.9444273,2.4478494,0.0195613,-0.0195613,20291.38387,140.54343,-140.54343,12.7921539,317.4314288,1076.545105,11.7583,0.006,-0.006,207.49,1.0265,-1.0265,5150.0,131.1,-131.1,4.55754,0.88727,CONFIRMED
740,-28.458,0.068,-0.068,-176.929,0.056,-0.056,2458354.276,1.46503,1.145,0.252,-0.252,3162.12,9.28965,-9.28965,5.43222,601.367,1379.0,12.3574,0.007,-0.007,379.256,5.205,-5.205,5912.5,441.0,-441.0,4.36,0.88,FALSE_POSITIVE
741,-63.858,0.051,-0.051,38.374,0.041,-0.041,2459982.845,6.3980642,2.004,0.137,-0.137,1656.0,53.3061,-53.3061,2.62025,33.7178,671.0,8.5925,0.006,-0.006,31.5666,0.03205,-0.03205,4695.0,92.0,-92.0,4.5,0.63,CONFIRMED
742,15.024,0.09,-0.09,-41.309,0.092,-0.092,2459470.147,4.1591488,3.54,0.032,-0.032,12800.0,0.0613901,-0.0613901,12.1616,417.295,1259.0,11.29,0.006,-0.006,264.78,4.802,-4.802,5576.0,118.2,-118.2,4.34,1.11,CONFIRMED
743,200.606,0.123,-0.123,-76.763,0.066,-0.066,2459476.992,13.8532745,3.1969542,0.9259182,-0.9259182,1068.133055,120.79104,-120.79104,2.2098839,9.7560707,450.7528526,11.4529,0.006,-0.006,72.7998,0.28525,-0.28525,3893.47,115.364,-115.364,4.58272,0.655766,CONFIRMED
744,-1.356,0.041,-0.041,3.919,0.04,-0.04,2458569.668,1.6827917,3.0314666,0.0163657,-0.0163657,8131.434261,65.97443,-65.97443,14.8695962,4170.096536,2049.539425,10.349,0.006,-0.006,298.392,3.579,-3.579,6271.0,196.0,-196.0,4.08214,1.56803,CONFIRMED
