orbital_period,transit_duration,transit_duration_err1,transit_duration_err2,transit_depth,transit_depth_err1,transit_depth_err2,planet_radius,planet_radius_err1,planet_radius_err2,equi_temp,stellar_temp,stellar_temp_err1,stellar_temp_err2,stellar_radius,stellar_radius_err1,stellar_radius_err2,label
1.4328255,2.0718518,0.2736095,-0.2736095,51089.4348604,4659.986,-4659.986,18.2238418,2.0446618,-2.0446618,1222.8226457,4588.0,124.0,-124.0,0.817544,0.169,-0.088,1
1.23852,3.138,0.383,-0.383,440.0,0.95017,-0.95017,7.11712,0.485025,-0.485025,2736.0,6524.0,188.4,-188.4,3.4,0.15,-0.15,0
21.5324915,4.156,0.24,-0.24,101.0,8.8,-8.8,1.47,0.79,-0.29,876.0,6737.0,161.0,-245.0,1.41,0.763,-0.273,0
38.6715843,5.532,0.148,-0.148,599.0,26.8,-26.8,2.45,0.83,-0.38,502.0,5432.0,159.0,-159.0,0.913,0.306,-0.141,1
1.0995742,0.952,0.15,-0.15,3168.0,195.464,-195.464,9.72799,0.528396,-0.528396,1592.0,6040.0,128.6,-128.6,1.51,0.07,-0.07,0
2.2887763,4.8634851,0.3166188,-0.3166188,1890.6463423,135.64415,-135.64415,2.8057654,0.423074,-0.423074,805.0445873,3953.0,123.519,-123.519,0.617703,0.0645854,-0.0645854,0
2.316171991,4.03025,0.00119,-0.00119,251000.0,34.7,-34.7,49.53,12.8,-3.43,1288.0,5932.0,141.0,-177.0,0.795,0.206,-0.055,0
1.412524016,5.74859,0.00587,-0.00587,176000.0,149.0,-149.0,68.92,20.2,-8.63,1978.0,6690.0,185.0,-278.0,1.174,0.344,-0.147,0
3.7382381,2.975208,0.4806873,-0.4806873,1316.4622757,89.708,-89.708,4.774123,1.8493468,-1.8493468,1352.3587386,5938.0,127.484,-127.484,1.2906801,0.0619598,-0.0619598,1
19.5901578,4.002861,0.1934811,-0.1934811,1182.6678641,53.20346,-53.20346,3.0026428,0.4337622,-0.4337622,620.3638839,5723.87,49.567,-49.567,0.864173,0.038593,-0.038593,1
2.041659,3.521,0.95,-0.95,3230.0,17.4073,-17.4073,8.90978,0.818121,-0.818121,2365.0,6806.0,179.2,-179.2,1.56,0.07,-0.07,0
0.224195,0.292,0.026,-0.026,540.0,636.236,-636.236,5.59553,1.95546,-1.95546,1998.0,4079.0,126.0,-126.0,0.68,0.07,-0.07,1
9.034190783,1.5501,0.0174,-0.0174,578.0,8.2,-8.2,1.8,0.07,-0.09,586.0,4499.0,89.0,-89.0,0.639,0.025,-0.032,1
14.1166583,9.12,1.5,-1.5,449.0,76.4,-76.4,238.66,76.3,-90.5,1205.0,6526.0,182.0,-249.0,2.238,0.715,-0.849,0
2.852348262,0.7051,0.0395,-0.0395,1400.0,59.1,-59.1,1.66,0.18,-0.2,621.0,3731.0,74.0,-81.0,0.433,0.047,-0.052,1
26.0692512,7.487,0.152,-0.152,832.0,16.3,-16.3,23.61,6.53,-4.03,591.0,5585.0,152.0,-169.0,0.91,0.252,-0.155,0
0.536650896,4.702,0.123,-0.123,273.0,3.2,-3.2,18.45,4.9,-2.09,2163.0,5819.0,145.0,-160.0,0.881,0.234,-0.1,0
7.143708297,5.83451,0.00299,-0.00299,203000.0,106.0,-106.0,44.78,12.6,-7.81,943.0,5655.0,152.0,-152.0,0.992,0.28,-0.173,0
1.9828041248,1.1139386,0.06483,-0.06483,13.21050435,0.5127973,-0.5127973,10.89107018,0.5742868,-0.5742868,543.47,3213.0,157.0,-157.0,0.293047,0.011618,-0.011618,0
18.87022157,3.1404,0.0405,-0.0405,1100.0,16.8,-16.8,2.82,0.53,-0.39,621.0,5402.0,175.0,-159.0,0.865,0.164,-0.119,1
7.258450123,5.7297,0.0161,-0.0161,3710.0,14.9,-14.9,5.53,1.59,-0.53,880.0,5638.0,154.0,-171.0,0.92,0.264,-0.088,0
4.43529675,2.117,0.348,-0.348,182.0,24.7,-24.7,1.15,0.29,-0.13,1026.0,5659.0,186.0,-186.0,0.842,0.215,-0.092,0
